Năm;Tháng;Ngày;Tên Cty nhập khẩu;Địa chỉ Cty nhập khẩu;HS code;Tên hàng;Thuế suất XNK;Đơn vị tính;Số Lượng;Đơn giá Nguyên tệ;Đơn giá khai báo(USD);Trị giá USD;Nguyên tệ;Tỷ giá nguyên tệ;Tỷ giá USD;Mã phương thức thanh toán;Điều kiện giao hàng;Phương tiện vận chuyển;Tên nuớc xuất khẩu;Tên nước nhập khẩu;Chi cục hải quan;Loại hình;Số tờ khai
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	1.090 ; 	10,28 ; 	10,28 ; 	11.196 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-16-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	1.112 ; 	9,97 ; 	9,97 ; 	11.084 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA BM-16-LOIN#&Cá ngừ cắt vụn đông lạnh#&KXĐ;0;Kilogam; 	2.111 ; 	10,44 ; 	10,44 ; 	22.030 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
2024;9;9/6/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA BM-16-LOIN#&Cá ngừ cắt vụn đông lạnh#&KXĐ;0;Kilogam; 	9.279 ; 	9,97 ; 	9,97 ; 	92.466 ;USD; 	24.690,00 ; 	24.690,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306719240830
2024;9;9/7/24;ASIAN WAVE SEAFOOD CORP;P.BASUBAS ST. TIPOLO, MANDAUE CITY, CEBU, 6014, PHILIPPINES, PH;03049990;EDW-NGKAMAMEAT91-060924PP#&Thịt ức cá ngừ đông lạnh (Size: 200-300 gr)#&KXĐ;0;Kilogam; 	4.930 ; 	1,75 ; 	1,75 ; 	8.628 ;USD; 	24.690,00 ; 	24.690,00 ;KC;CIF;2-Đường biển (container);Viet Nam;Philippines;Chi cục HQ CK Cảng Cam Ranh;Xuất sản phẩm sản xuất xuất khẩu;306719394610
2024;9;9/7/24;ASIAN WAVE SEAFOOD CORP;P.BASUBAS ST. TIPOLO, MANDAUE CITY, CEBU, 6014, PHILIPPINES, PH;03049990;EDW-NGKAMAMEAT92-060924PP#&Thịt ức cá ngừ đông lạnh (Size: 300-500 gr)#&KXĐ;0;Kilogam; 	10.160 ; 	1,95 ; 	1,95 ; 	19.812 ;USD; 	24.690,00 ; 	24.690,00 ;KC;CIF;2-Đường biển (container);Viet Nam;Philippines;Chi cục HQ CK Cảng Cam Ranh;Xuất sản phẩm sản xuất xuất khẩu;306719394610
2024;9;9/7/24;ASIAN WAVE SEAFOOD CORP;P.BASUBAS ST. TIPOLO, MANDAUE CITY, CEBU, 6014, PHILIPPINES, PH;03049990;EDW-NGKAMAMEAT93-060924PP#&Thịt ức cá ngừ đông lạnh (Size: 500 gr up)#&KXĐ;0;Kilogam; 	2.910 ; 	2,00 ; 	2,00 ; 	5.820 ;USD; 	24.690,00 ; 	24.690,00 ;KC;CIF;2-Đường biển (container);Viet Nam;Philippines;Chi cục HQ CK Cảng Cam Ranh;Xuất sản phẩm sản xuất xuất khẩu;306719394610
2024;9;9/9/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-17-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	5.194 ; 	12,34 ; 	12,34 ; 	64.075 ;USD; 	24.580,00 ; 	24.580,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306724272650
2024;9;9/9/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-17-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	5.583 ; 	10,02 ; 	10,02 ; 	55.927 ;USD; 	24.580,00 ; 	24.580,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306724272650
2024;9;9/9/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-17-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	291 ; 	10,04 ; 	10,04 ; 	2.916 ;USD; 	24.580,00 ; 	24.580,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306724272650
2024;9;9/9/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-17-LOIN#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	449 ; 	10,15 ; 	10,15 ; 	4.561 ;USD; 	24.580,00 ; 	24.580,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306724272650
2024;9;9/9/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA BM-17-LOIN#&Cá ngừ cắt vụn đông lạnh#&KXĐ;0;Kilogam; 	2.157 ; 	10,43 ; 	10,43 ; 	22.486 ;USD; 	24.580,00 ; 	24.580,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306724272650
2024;9;9/9/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA BM-17-LOIN#&Cá ngừ cắt vụn đông lạnh#&KXĐ;0;Kilogam; 	1.378 ; 	9,96 ; 	9,96 ; 	13.724 ;USD; 	24.580,00 ; 	24.580,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306724272650
2024;9;9/9/24;CORAL TRIANGLE PROCESSORS, LLC;TRUST COMPANY COMPLEX, AJELTAKE RD, AJELTAKE ISLAND, MAJURO, MARSHALL ISLANDS, US;03049990;CTP-24-01-TUNA SAKU-17-GG#&Cá ngừ cắt lát đông lạnh#&KXĐ;0;Kilogam; 	536 ; 	8,82 ; 	8,82 ; 	4.725 ;USD; 	24.580,00 ; 	24.580,00 ;KHONGTT;FOB;2-Đường biển (container);Viet Nam;United States of America;Chi cục HQ Biên Hoà;Xuất sản phẩm gia công cho thương nhân nước ngoài;306724272650
